POST_CODE,PHARMACY_OPENING_HOURS_SATURDAY,PHARMACY_OPENING_HOURS_THURSDAY,CONTRACT_TYPE,ADDRESS_FIELD_4,ADDRESS_FIELD_3,ADDRESS_FIELD_2,ADDRESS_FIELD_1,TUES_TOTAL,PHARMACY_OPENING_HOURS_TUESDAY,HEALTH_AND_WELLBEING_BOARD,PHARMACY_OPENING_HOURS_FRIDAY,ORGANISATION_NAME,THURS_TOTAL,WEEKLY_TOTAL,PHARMACY_OPENING_HOURS_WEDNESDAY,FRI_TOTAL,PHARMACY_TRADING_NAME,PHARMACY_OPENING_HOURS_MONDAY,SUN_TOTAL,MON_TOTAL,PHARMACY_ODS_CODE__F_CODE_,PHARMACY_OPENING_HOURS_SUNDAY,SAT_TOTAL,WED_TOTAL
BH21 2SE,09:00-13:00,"09:00-13:00,14:00-18:00",Community,DORSET,WIMBORNE,COLEHILL,42 MIDDLEHILL ROAD,8,"09:00-13:00,14:00-18:00",DORSET,"09:00-13:00,14:00-18:00",MEDICINE CLINIC LIMITED,8,44,"09:00-13:00,14:00-18:00",8,COLEHILL PHARMACY,"09:00-13:00,14:00-18:00",0,8,FLX51,CLOSED,4,8
DT4 0AE,09:00-13:00,"09:00-13:00,14:00-18:00",Community,DORSET,WEYMOUTH,WESTHAM,26 ABBOTSBURY RD,8,"09:00-13:00,14:00-18:00",DORSET,"09:00-13:00,14:00-18:00",WEYMOUTH PHARMA LTD,8,44,"09:00-13:00,14:00-18:00",8,WEYMOUTH PHARMACY,"09:00-13:00,14:00-18:00",0,8,FPN51,CLOSED,4,8
BH23 2FQ,09:00-13:00,"09:00-13:00,14:00-18:00",Community,DORSET,CHRISTCHURCH,FAIRMILE,FAIRMILE ROAD,8,"09:00-13:00,14:00-18:00",DORSET,"09:00-13:00,14:00-18:00",MEDICINE CLINIC LIMITED,8,44,"09:00-13:00,14:00-18:00",8,THE GROVE PHARMACY,"09:00-13:00,14:00-18:00",0,8,FR035,CLOSED,4,8
DT9 3BA,09:00-13:00,"09:00-14:00,14:30-17:30",Community,DORSET,SHERBORNE," ",77 CHEAP STREET,8,"09:00-14:00,14:30-17:30",DORSET,"09:00-14:00,14:30-17:30",BESTWAY NATIONAL CHEMISTS LIMITED,8,44,"09:00-14:00,14:30-17:30",8,WELL,"09:00-14:00,14:30-17:30",0,8,FPA91,CLOSED,4,8
BH20 4LR,09:00-13:00,"09:00-14:00,14:30-17:30",Community,DORSET,BOURNEMOUTH,WAREHAM,11-13 SOUTH STREET,8,"09:00-14:00,14:30-17:30",DORSET,"09:00-14:00,14:30-17:30",DAY LEWIS PLC,8,44,"09:00-14:00,14:30-17:30",8,DAY LEWIS PHARMACY,"09:00-14:00,14:30-17:30",0,8,FWV11,CLOSED,4,8
DT4 7AW,09:00-12:00,08:30-17:30,Community,DORSET,WEYMOUTH,,22 GLOUCESTER STREET,9,08:30-17:30,DORSET,08:30-17:30,LP SD FIFTY LIMITED,9,48,08:30-17:30,9,JHOOTS PHARMACY,08:30-17:30,0,9,FM216,CLOSED,3,9
DT1 1BQ,09:00-17:00,09:00-17:00,Community,DORSET,DORCHESTER,,12-13 CORNHILL,8,09:00-17:00,DORSET,09:00-17:00,BOOTS UK LIMITED,8,48,09:00-17:00,8,BOOTS,09:00-17:00,0,8,FDA03,CLOSED,8,8
BH1 1HF,09:00-17:00,09:00-17:00,DAC,DORSET,BOURNEMOUTH,,125 OLD CHRISTCHURCH RD,8,09:00-17:00,BOURNEMOUTH & POOLE,09:00-17:00,SALTS HEALTHCARE LIMITED,8,48,09:00-17:00,8,SALTS MEDILINK,09:00-17:00,0,8,FWP06,CLOSED,8,8
BH19 1AE,CLOSED,08:30-18:30,Community,DORSET,SWANAGE," ",22 STATION ROAD,10,08:30-18:30,DORSET,08:30-18:30,BESTWAY NATIONAL CHEMISTS LIMITED,10,50,08:30-18:30,10,WELL,08:30-18:30,0,10,FE320,CLOSED,0,10
BH23 5ET,CLOSED,08:30-18:30,Community,DORSET,HIGHCLIFFE,248 LYMINGTON ROAD,HIGHCLIFFE MEDICAL CENTRE,10,08:30-18:30,DORSET,08:30-18:30,SUTTON CHASE LTD,10,50,08:30-18:30,10,KAMSONS PHARMACY,08:30-18:30,0,10,FNC83,CLOSED,0,10
BH12 5BF,CLOSED,08:30-18:30,Community,DORSET,POOLE,WALLISDOWN,6 GILLETT ROAD,10,08:30-18:30,BOURNEMOUTH & POOLE,08:30-18:30,DAY LEWIS PLC,10,50,08:30-18:30,10,DAY LEWIS PHARMACY,08:30-18:30,0,10,FRN49,CLOSED,0,10
DT10 1AS,09:00-16:00,09:00-18:00,Community,DORSET,STURMINSTER NEWTON,,1 MARKET PLACE,9,09:00-18:00,DORSET,09:00-18:00,BOOTS UK LIMITED,9,52,09:00-18:00,9,BOOTS,09:00-18:00,0,9,FCJ53,CLOSED,7,9
DT4 8LY,"08:30-13:30,14:30-17:30","08:30-13:30,14:30-17:30",Community,DORSET,WEYMOUTH,,1-2 NEW BOND STREET,8,"08:30-13:30,14:30-17:30",DORSET,"08:30-13:30,14:30-17:30",BOOTS UK LIMITED,8,54,"08:30-13:30,14:30-17:30",8,BOOTS,"08:30-13:30,14:30-17:30",6,8,FF509,10:00-16:00,8,8
BH2 5NL,"09:00-13:00,14:00-18:00","09:00-13:00,14:00-18:00",Community," "," ",BOURNEMOUTH,18-20 COMMERCIAL RD,8,"09:00-13:00,14:00-18:00",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-18:00",BOOTS UK LIMITED,8,54,"09:00-13:00,14:00-18:00",8,BOOTS,"09:00-13:00,14:00-18:00",6,8,FQ299,10:30-16:30,8,8
BH23 5EY,09:00-17:30,08:30-18:00,Community,DORSET,CHRISTCHURCH,HIGHCLIFFE,344-346 LYMINGTON ROAD,9.5,08:30-18:00,DORSET,08:30-18:00,SUTTON CHASE LTD,9.5,56,08:30-18:00,9.5,KAMSONS PHARMACY,08:30-18:00,0,9.5,FKA59,CLOSED,8.5,9.5
BH22 9AG,"09:00-13:00,17:00-21:00",09:00-21:00,Community,,DORSET,FERNDOWN,487 RINGWOOD ROAD,12,09:00-21:00,DORSET,09:00-21:00,FERNDOWN PHARMACY LTD,12,72,09:00-21:00,12,FERNDOWN PHARMACY,09:00-21:00,4,12,FFE58,10:00-14:00,8,12
BH31 6EH,"08:00-13:00,14:00-21:00","08:00-13:00,14:00-21:00",Community,DORSET,VERWOOD,LAKE ROAD,LAKE ROAD SURGERY,12,"08:00-13:00,14:00-21:00",DORSET,"08:00-13:00,14:00-21:00",PHARMLAND LTD,12,72,"08:00-13:00,14:00-21:00",12,VERWOOD PHARMACY,"08:00-13:00,14:00-21:00",0,12,FTG67,CLOSED,12,12
BA21 5BT,"09:00-13:00,14:00-21:00","09:00-13:00,14:00-21:00",Community,SOMERSET,"SHERBORNE RD, YEOVIL",BABYLON HILL,"UNIT 7, THE PEEL CENTRE",11,"09:00-13:00,14:00-21:00",DORSET,"09:00-13:00,14:00-21:00",BOOTS UK LIMITED,11,72,"09:00-13:00,14:00-21:00",11,BOOTS,"09:00-13:00,14:00-21:00",6,11,FV817,10:00-16:00,11,11
DT4 8JQ,"09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00",Community,DORSET,WEYMOUTH,,NEWSTEAD ROAD,11,"09:00-12:30,13:00-16:30,17:00-21:00",DORSET,"09:00-12:30,13:00-16:30,17:00-21:00",ASDA STORES LTD,11,72,"09:00-12:30,13:00-16:30,17:00-21:00",11,ASDA PHARMACY,"09:00-12:30,13:00-16:30,17:00-21:00",6,11,FHC86,10:00-16:00,11,11
BH15 1JQ,"09:00-12:30,13:00-16:30,17:00-21:00","09:00-12:30,13:00-16:30,17:00-21:00",Community,DORSET,POOLE,WEST QUAY ROAD,ASDA STORE,11,"09:00-12:30,13:00-16:30,17:00-21:00",BOURNEMOUTH & POOLE,"09:00-12:30,13:00-16:30,17:00-21:00",ASDA STORES LTD,11,72,"09:00-12:30,13:00-16:30,17:00-21:00",11,ASDA PHARMACY,"09:00-12:30,13:00-16:30,17:00-21:00",6,11,FM329,10:00-16:00,11,11
BH8 8BL,CLOSED,09:00-17:30,Community," ",BOURNEMOUTH,QUEENS PARK,386 HOLDENHURST RD,8.5,09:00-17:30,BOURNEMOUTH & POOLE,09:00-17:30,MEDI INNOVATION LTD,8.5,42.5,09:00-17:30,8.5,QUEENS PARK PHARMACY,09:00-17:30,0,8.5,FKH46,CLOSED,0,8.5
BH14 0AD,09:00-14:00,"09:00-13:00,14:00-17:30",Community,DORSET,POOLE,PARKSTONE,462 ASHLEY ROAD,7.5,"09:00-13:00,14:00-17:30",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-17:30",SHALLI LIMITED,7.5,42.5,"09:00-13:00,14:00-17:30",7.5,BRYANT PHARMACY,"09:00-13:00,14:00-17:30",0,7.5,FCE37,CLOSED,5,7.5
BH2 5QR,CLOSED,"09:00-13:00,14:00-18:30",Community,DORSET,BOURNEMOUTH,"7 POOLE ROAD, WESTBOURNE",POOLE ROAD MEDICAL CENTRE,8.5,"09:00-13:00,14:00-18:30",BOURNEMOUTH & POOLE,"09:00-13:00,14:00-18:30",WESTCLIFF MEDICINES LIMITED,8.5,42.5,"09:00-13:00,14:00-18:30",8.5,WESTCLIFF PHARMACY,"09:00-13:00,14:00-18:30",0,8.5,FXP11,CLOSED,0,8.5
SP8 4XS,CLOSED,"09:00-13:30,14:30-18:30",Community,"GILLINGHAM, DORSET",NEWBURY,THE BARN SURGERY,GILLINGHAM MEDICAL PRACT,8.5,"09:00-13:30,14:30-18:30",DORSET,"09:00-13:30,14:30-18:30",AVICENNA RETAIL LTD,8.5,42.5,"09:00-13:30,14:30-18:30",8.5,THE BARN PHARMACY,"09:00-13:30,14:30-18:30",0,8.5,FWL38,CLOSED,0,8.5
DT1 2LW,09:00-13:00,09:00-17:30,Community,DORSET,DORCHESTER,,14 MAUD ROAD,8.5,09:00-17:30,DORSET,09:00-17:30,AUNPHARMA LIMITED,8.5,46.5,09:00-17:30,8.5,VICTORIA PARK PHARMACY,09:00-17:30,0,8.5,FCP93,CLOSED,4,8.5
BH11 8DU,09:00-13:00,09:00-17:30,Community," ",BOURNEMOUTH,WEST HOWE,24/26 CUNNINGHAM CRESCENT,8.5,09:00-17:30,BOURNEMOUTH & POOLE,09:00-17:30,AVICENNA RETAIL LTD,8.5,46.5,09:00-17:30,8.5,AVICENNA PHARMACY,09:00-17:30,0,8.5,FJH73,CLOSED,4,8.5
